Instrument Serial Num,Reading_No,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,Ta Compound,Ta Compound Level,Ta Compound Error,Ta Concentration,Ta Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,,Real Time 1,Real Time 2,Real Time 3
803819,1,23/08/2019,9:48:31,,,1C,No,,,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,
803819,2,23/08/2019,9:57:27,Soil,,2,No,,,PPM,,,,106,117,,,,-25,21,,,,19,9,,,,-5,3,,,,4,1,,,,1,0,,,,0,1,,,,4,1,,,,8,3,,,,2,2,,,,0,1,,,,1,1,,,,0,1,,,,0,0,,,,0,0,,,,0,0,,,,1,1,,,,0,1,,,,0,1,,,,-1,0,,,,-1,1,,,,-2,1,,,,-2,1,,,,-1,3,,,,-3,3,,,,-2,8,,,,-51,19,,,,22,38,,,,56,50,,,,7,110,,,,2,7,,,,-1,1,,,,0,1,,,,0,1,,,,-1,1,,,,-2,2,,,,1,2,1,30,30,30
803819,3,23/08/2019,10:00:21,Soil,,3,No,,,PPM,,,,1519,473,,,,1274,76,,,,26552,125,,,,24048,102,,,,2992,17,,,,88,2,,,,58,2,,,,681,5,,,,27677,102,,,,-86,17,,,,29,2,,,,130,3,,,,407,4,,,,119,5,,,,2,1,,,,122,1,,,,226,5,,,,30,3,,,,249,5,,,,17,1,,,,6,2,,,,4,2,,,,50,2,,,,2,4,,,,24,4,,,,514,13,,,,9,23,,,,143,48,,,,-260,63,,,,-163,137,,,,37,12,,,,9,3,,,,10,2,,,,1389,7,,,,2,2,,,,17,3,,,,0,3,2,30,30,30
803819,4,23/08/2019,10:08:27,Soil,,4,No,,,PPM,,,,795,159,,,,632,32,,,,22479,76,,,,2827,19,,,,41,1,,,,5,0,,,,11,1,,,,72,1,,,,221,5,,,,-17,2,,,,-5,1,,,,-2,1,,,,0,1,,,,-2,0,,,,-3,0,,,,12,0,,,,38,3,,,,-2,2,,,,5,2,,,,1,1,,,,4,3,,,,-1,2,,,,1,3,,,,-27,6,,,,-9,6,,,,110,15,,,,-5,30,,,,2,61,,,,-70,76,,,,-71,166,,,,-12,13,,,,-9,1,,,,-5,1,,,,2,1,,,,-38,1,,,,-5,3,,,,2,4,3,30,30,30
803819,5,23/08/2019,10:17:03,Soil,,5,No,,,PPM,,,,508,151,,,,712,34,,,,24894,84,,,,1872,17,,,,34,1,,,,3,0,,,,11,1,,,,83,1,,,,253,5,,,,-13,2,,,,-5,1,,,,-1,1,,,,0,1,,,,-1,0,,,,-2,0,,,,14,0,,,,20,3,,,,-1,2,,,,3,2,,,,-1,1,,,,-3,3,,,,-8,2,,,,-4,3,,,,-28,6,,,,-1,6,,,,93,15,,,,-38,31,,,,-49,61,,,,54,79,,,,-139,169,,,,6,14,,,,-11,1,,,,-4,1,,,,1,1,,,,-34,2,,,,-3,4,,,,-5,4,4,30,30,30
803819,6,23/08/2019,10:24:42,Soil,,6,No,,,PPM,,,,407,150,,,,1107,38,,,,25771,86,,,,2115,17,,,,28,1,,,,5,0,,,,11,1,,,,94,1,,,,144,4,,,,-16,2,,,,-7,1,,,,-3,1,,,,0,1,,,,-3,0,,,,-2,0,,,,12,0,,,,28,3,,,,-2,2,,,,-1,2,,,,3,1,,,,3,3,,,,-4,3,,,,0,3,,,,-24,6,,,,-8,6,,,,113,15,,,,-5,31,,,,70,63,,,,-113,80,,,,62,173,,,,15,15,,,,-10,1,,,,-5,1,,,,3,1,,,,-40,2,,,,-7,3,,,,2,4,5,30,30,30
803819,7,23/08/2019,10:27:44,Soil,,7,No,,,PPM,,,,433,155,,,,576,32,,,,16486,63,,,,3115,19,,,,46,1,,,,7,0,,,,18,1,,,,78,1,,,,182,5,,,,-19,2,,,,-4,1,,,,-3,1,,,,1,1,,,,-3,0,,,,-3,0,,,,9,0,,,,46,4,,,,-2,2,,,,1,2,,,,2,1,,,,-1,3,,,,2,2,,,,0,3,,,,-32,6,,,,-3,6,,,,115,16,,,,-36,31,,,,-34,63,,,,-140,81,,,,60,173,,,,15,15,,,,-9,1,,,,-4,1,,,,2,1,,,,-41,2,,,,3,4,,,,1,4,6,30,30,30
803819,8,23/08/2019,10:30:39,Soil,,8,No,,,PPM,,,,486,155,,,,530,31,,,,22226,76,,,,3024,19,,,,49,1,,,,5,0,,,,13,1,,,,68,1,,,,286,6,,,,-18,2,,,,-9,1,,,,-3,1,,,,1,1,,,,-3,0,,,,-2,0,,,,12,0,,,,34,3,,,,0,2,,,,4,2,,,,2,1,,,,4,3,,,,-1,2,,,,2,3,,,,-13,6,,,,-14,6,,,,107,15,,,,-48,30,,,,6,61,,,,-44,78,,,,-22,169,,,,16,15,,,,-10,1,,,,-5,1,,,,2,1,,,,-38,2,,,,1,4,,,,-8,4,7,30,30,30
803819,9,23/08/2019,10:33:16,Soil,,9,No,,,PPM,,,,750,197,,,,1090,44,,,,45862,147,,,,3281,25,,,,36,1,,,,5,0,,,,11,1,,,,64,1,,,,198,5,,,,-12,2,,,,-10,1,,,,-2,1,,,,0,1,,,,-1,0,,,,-2,0,,,,21,0,,,,40,4,,,,0,2,,,,1,2,,,,0,1,,,,5,3,,,,-3,3,,,,-10,3,,,,-16,6,,,,4,6,,,,129,16,,,,-24,33,,,,86,67,,,,-162,85,,,,343,184,,,,5,16,,,,-6,1,,,,-4,1,,,,2,1,,,,-37,2,,,,-1,4,,,,0,4,8,30,30,30
803819,10,23/08/2019,10:35:31,Soil,,10,No,,,PPM,,,,336,167,,,,530,32,,,,25433,85,,,,4251,23,,,,49,1,,,,7,0,,,,14,1,,,,126,1,,,,202,5,,,,-14,2,,,,-7,1,,,,-4,1,,,,3,1,,,,-2,0,,,,-3,0,,,,9,0,,,,53,4,,,,-3,2,,,,3,2,,,,1,1,,,,2,3,,,,-4,2,,,,-3,3,,,,-24,6,,,,0,6,,,,118,15,,,,-10,31,,,,102,61,,,,7,78,,,,-86,170,,,,-6,14,,,,-8,1,,,,-4,1,,,,2,1,,,,-39,2,,,,-6,4,,,,3,4,9,30,30,30
803819,11,23/08/2019,10:38:21,Soil,,11,No,,,PPM,,,,1050,177,,,,752,35,,,,28648,94,,,,3153,21,,,,62,2,,,,7,0,,,,14,1,,,,300,2,,,,292,6,,,,-10,2,,,,-7,1,,,,-4,1,,,,3,1,,,,-2,0,,,,-3,0,,,,18,0,,,,49,4,,,,-2,2,,,,2,2,,,,0,1,,,,1,3,,,,-4,2,,,,0,3,,,,-21,6,,,,2,6,,,,123,15,,,,-19,31,,,,35,62,,,,32,80,,,,218,171,,,,-4,15,,,,-11,1,,,,-3,1,,,,2,1,,,,-40,2,,,,-3,4,,,,-1,4,10,30,30,30
803819,12,23/08/2019,10:40:47,Soil,,12,No,,,PPM,,,,393,146,,,,488,30,,,,22375,78,,,,1875,16,,,,33,1,,,,6,0,,,,12,1,,,,52,1,,,,74,4,,,,-14,2,,,,-7,1,,,,-3,1,,,,-1,1,,,,-2,0,,,,-3,0,,,,16,0,,,,25,3,,,,0,2,,,,1,2,,,,1,1,,,,-4,3,,,,3,2,,,,5,3,,,,-28,6,,,,-10,6,,,,113,15,,,,7,30,,,,120,61,,,,-67,78,,,,108,168,,,,-9,14,,,,-7,1,,,,-5,1,,,,1,1,,,,-38,2,,,,1,4,,,,4,4,11,30,30,30
803819,13,23/08/2019,10:43:55,Soil,,13,No,,,PPM,,,,590,165,,,,1100,39,,,,21255,76,,,,3475,21,,,,51,1,,,,8,0,,,,13,1,,,,119,1,,,,196,5,,,,-12,2,,,,-7,1,,,,0,1,,,,2,1,,,,-2,0,,,,-2,0,,,,19,0,,,,59,4,,,,0,2,,,,3,2,,,,1,1,,,,4,3,,,,-1,3,,,,3,3,,,,-32,6,,,,-9,6,,,,117,15,,,,-28,32,,,,23,63,,,,-97,81,,,,-184,173,,,,7,15,,,,-7,1,,,,-5,1,,,,2,1,,,,-38,2,,,,3,4,,,,-3,4,12,30,30,30
803819,14,23/08/2019,10:46:18,Soil,,14,No,,,PPM,,,,846,167,,,,945,38,,,,31536,103,,,,1970,18,,,,26,1,,,,3,0,,,,11,1,,,,112,1,,,,177,5,,,,-15,2,,,,-5,1,,,,-2,1,,,,0,1,,,,-2,0,,,,-2,0,,,,13,0,,,,38,3,,,,-3,2,,,,4,2,,,,2,1,,,,3,3,,,,-3,3,,,,2,3,,,,-34,6,,,,-13,6,,,,135,15,,,,-13,31,,,,55,62,,,,-22,79,,,,-62,171,,,,27,16,,,,-9,1,,,,-4,1,,,,1,1,,,,-35,2,,,,-6,4,,,,-3,4,13,30,30,30
803819,15,23/08/2019,10:48:36,Soil,,15,No,,,PPM,,,,983,182,,,,1375,43,,,,29740,99,,,,3403,22,,,,53,2,,,,6,0,,,,14,1,,,,245,2,,,,349,7,,,,-16,2,,,,-7,1,,,,-4,1,,,,2,1,,,,-2,0,,,,-3,0,,,,23,0,,,,54,4,,,,2,2,,,,1,2,,,,0,1,,,,0,3,,,,0,3,,,,0,3,,,,-29,6,,,,-6,6,,,,108,16,,,,-75,32,,,,-21,64,,,,-222,82,,,,-11,176,,,,5,15,,,,-7,1,,,,-4,1,,,,2,1,,,,-40,2,,,,-3,4,,,,-3,4,14,30,30,30
803819,16,23/08/2019,10:50:52,Soil,,16,No,,,PPM,,,,83,149,,,,1232,40,,,,24602,83,,,,2863,19,,,,21,1,,,,3,0,,,,12,1,,,,56,1,,,,133,4,,,,-10,2,,,,-7,1,,,,-3,1,,,,1,1,,,,-2,0,,,,-3,0,,,,12,0,,,,33,3,,,,1,2,,,,2,2,,,,2,1,,,,-3,3,,,,4,2,,,,1,3,,,,-27,6,,,,-14,6,,,,99,15,,,,-27,30,,,,40,60,,,,-41,77,,,,-155,166,,,,-6,13,,,,-7,1,,,,-4,1,,,,1,1,,,,-37,2,,,,1,4,,,,-4,4,15,30,30,30
803819,17,23/08/2019,10:53:47,Soil,,17,No,,,PPM,,,,723,173,,,,771,36,,,,24495,85,,,,3553,22,,,,26,1,,,,3,0,,,,11,1,,,,53,1,,,,140,5,,,,-16,2,,,,-9,1,,,,2,1,,,,1,1,,,,-2,0,,,,-2,0,,,,11,0,,,,32,3,,,,1,2,,,,1,2,,,,1,1,,,,2,3,,,,-5,3,,,,-2,3,,,,-30,6,,,,-7,6,,,,119,15,,,,40,31,,,,16,63,,,,-143,80,,,,-257,170,,,,15,15,,,,-8,1,,,,-4,1,,,,2,1,,,,-40,2,,,,-8,4,,,,3,4,16,30,30,30
803819,18,23/08/2019,10:56:39,Soil,,18,No,,,PPM,,,,740,182,,,,683,35,,,,31527,103,,,,3998,24,,,,62,2,,,,9,0,,,,17,1,,,,249,2,,,,203,5,,,,-15,2,,,,-7,1,,,,-4,1,,,,1,1,,,,-2,0,,,,-3,0,,,,14,0,,,,46,4,,,,2,2,,,,-1,2,,,,-1,1,,,,0,3,,,,0,3,,,,-1,3,,,,-12,6,,,,-2,6,,,,127,16,,,,-15,32,,,,77,65,,,,-133,82,,,,31,177,,,,22,16,,,,-9,1,,,,-5,1,,,,2,1,,,,-39,2,,,,-2,4,,,,4,4,17,30,30,30
803819,19,23/08/2019,10:59:17,Soil,,19,No,,,PPM,,,,571,157,,,,828,35,,,,24753,83,,,,2588,19,,,,29,1,,,,3,0,,,,13,1,,,,81,1,,,,214,5,,,,-16,2,,,,-7,1,,,,-2,1,,,,0,1,,,,-2,0,,,,-2,0,,,,10,0,,,,26,3,,,,0,2,,,,1,2,,,,1,1,,,,2,3,,,,-3,2,,,,1,3,,,,-25,6,,,,-6,6,,,,92,14,,,,-85,30,,,,-3,60,,,,-71,76,,,,-162,164,,,,8,14,,,,-8,1,,,,-4,1,,,,1,1,,,,-38,2,,,,-5,3,,,,-4,3,18,30,30,30
803819,20,23/08/2019,11:02:44,Soil,,20,No,,,PPM,,,,226,157,,,,803,35,,,,24562,84,,,,3068,20,,,,60,2,,,,9,0,,,,15,1,,,,180,2,,,,251,6,,,,-16,2,,,,-6,1,,,,-1,1,,,,3,1,,,,-2,0,,,,-3,0,,,,11,0,,,,49,4,,,,-2,2,,,,0,2,,,,0,1,,,,3,3,,,,2,3,,,,-7,3,,,,-25,6,,,,4,6,,,,149,15,,,,-29,31,,,,10,63,,,,-22,80,,,,-63,173,,,,15,15,,,,-9,1,,,,-3,1,,,,2,1,,,,-41,2,,,,2,4,,,,1,4,19,30,30,30
803819,21,23/08/2019,11:09:21,Soil,,21,No,,,PPM,,,,817,187,,,,1405,44,,,,33378,108,,,,4118,24,,,,45,1,,,,6,0,,,,18,1,,,,213,2,,,,279,6,,,,-15,2,,,,-5,1,,,,-3,1,,,,6,1,,,,-2,0,,,,-3,0,,,,25,0,,,,50,4,,,,2,2,,,,3,2,,,,1,1,,,,-1,3,,,,0,3,,,,-4,3,,,,-27,6,,,,-7,6,,,,93,16,,,,-15,32,,,,47,64,,,,-142,81,,,,-218,174,,,,6,15,,,,-10,1,,,,-3,1,,,,2,1,,,,-40,2,,,,-3,4,,,,-1,4,20,30,30,30
803819,22,23/08/2019,11:12:11,Soil,,22,No,,,PPM,,,,274,156,,,,696,33,,,,24767,83,,,,3206,20,,,,33,1,,,,4,0,,,,12,1,,,,54,1,,,,179,5,,,,-14,2,,,,-6,1,,,,-3,1,,,,0,1,,,,-2,0,,,,-3,0,,,,14,0,,,,37,3,,,,1,2,,,,1,2,,,,1,1,,,,2,3,,,,-1,3,,,,-4,3,,,,-28,6,,,,-8,6,,,,109,15,,,,11,31,,,,70,62,,,,-50,78,,,,145,169,,,,-11,14,,,,-9,1,,,,-4,1,,,,3,1,,,,-37,2,,,,-2,4,,,,-6,4,21,30,30,30
803819,23,23/08/2019,11:14:41,Soil,,23,No,,,PPM,,,,205,175,,,,1106,42,,,,38552,124,,,,3306,23,,,,30,1,,,,5,0,,,,9,1,,,,72,1,,,,121,4,,,,-13,2,,,,-7,1,,,,-1,1,,,,0,1,,,,-2,0,,,,-3,0,,,,28,0,,,,32,3,,,,1,2,,,,6,2,,,,0,1,,,,3,3,,,,-2,3,,,,2,3,,,,-23,6,,,,-2,6,,,,122,15,,,,-37,32,,,,-59,63,,,,-83,81,,,,-173,172,,,,-15,14,,,,-7,1,,,,-4,1,,,,2,1,,,,-38,2,,,,-3,4,,,,-3,4,22,30,30,30
